condition	seed	pruned_total	ASR	ASR_all_items	HarmRef_val	BFR_val	HarmRef_legacy	BFR_legacy	Empty	PPL
prune_only		320	0.8917	0.8917	0.3833	0.0200	0.4000	0.0200	0.0000	10.4760
random1	11	320	0.2417	0.2417	0.8833	0.4300	0.7833	0.2800	0.0000	8.8388
random2	11	320	0.2417	0.2417	0.8750	0.3800	0.8000	0.2300	0.0000	8.8489
random3	11	320	0.2583	0.2583	0.8417	0.4100	0.8000	0.2700	0.0000	8.8653
raw		0	0.9000	0.9000	0.4333	0.0100	0.4833	0.0300	0.0000	9.5929
rec_only	11	0	0.2500	0.2500	0.8917	0.4400	0.7750	0.2900	0.0000	8.8019
rec_only	22	0	0.2500	0.2500	0.9333	0.5200	0.7417	0.3100	0.0000	8.7299
rec_only	33	0	0.3083	0.3083	0.8583	0.3700	0.7417	0.3000	0.0000	8.8800
tfpd	11	320	0.2583	0.2583	0.9083	0.4200	0.7750	0.3100	0.0000	9.5324
tfpd	22	320	0.2500	0.2500	0.8750	0.6100	0.7833	0.4100	0.0000	9.5347
tfpd	33	320	0.2833	0.2833	0.8333	0.3400	0.7250	0.2900	0.0000	9.6546
